,countboomer,countx,county,countz,total
5 Seconds of Summer,1.0,1.0,1.0,1.0,4.0
6ix9ine,,,1.0,1.0,2.0
A$AP Rocky,,,1.0,1.0,2.0
ABBA,1.0,,,,1.0
AC/DC,1.0,1.0,,,2.0
Adele,2.0,,,,2.0
Alan Walker,,1.0,,,1.0
Alex Costanzo,,2.0,,,2.0
Alvaro Soler,1.0,1.0,1.0,1.0,4.0
America,1.0,,,,1.0
Anne-Marie,1.0,1.0,1.0,1.0,4.0
Aretha Franklin,1.0,,,,1.0
Ariana Grande,1.0,3.0,3.0,3.0,10.0
Ava Max,1.0,1.0,1.0,1.0,4.0
Avicii,,2.0,2.0,,4.0
Axwell /\ Ingrosso,,1.0,1.0,,2.0
Aya Nakamura,,,1.0,1.0,2.0
Azet,,,,2.0,2.0
Bad Bunny,,1.0,1.0,1.0,3.0
Bausa,,,,1.0,1.0
Bebe Rexha,1.0,1.0,1.0,,3.0
Becky G,,,1.0,1.0,2.0
Bee Gees,1.0,,,,1.0
Bill Withers,1.0,,,,1.0
Billie Eilish,,,,2.0,2.0
Bligg,,1.0,,,1.0
BlocBoy JB,,,,1.0,1.0
Bonez MC,,,1.0,3.0,4.0
Bushido,,,,1.0,1.0
Calvin Harris,2.0,2.0,2.0,2.0,8.0
Camila Cabello,1.0,1.0,1.0,,3.0
Capital Bra,,1.0,3.0,8.0,12.0
Cardi B,1.0,1.0,1.0,1.0,4.0
Clean Bandit,1.0,1.0,1.0,1.0,4.0
Creedence Clearwater Revival,1.0,,,,1.0
DJ Snake,1.0,1.0,1.0,1.0,4.0
Daddy Yankee,,,1.0,,1.0
Dardan,,,,1.0,1.0
David Guetta,1.0,1.0,2.0,1.0,5.0
Dean Lewis,1.0,1.0,1.0,1.0,4.0
Deep Purple,1.0,,,,1.0
Delcatty,1.0,,,,1.0
Dennis Lloyd,1.0,1.0,1.0,1.0,4.0
Dire Straits,1.0,,,,1.0
Drake,2.0,2.0,4.0,4.0,12.0
Dua Lipa,1.0,1.0,1.0,,3.0
Dynoro,1.0,1.0,1.0,1.0,4.0
Eagles,1.0,,,,1.0
"Earth, Wind & Fire",1.0,,,,1.0
Ed Sheeran,6.0,6.0,2.0,,14.0
El Profesor,,,1.0,,1.0
Eminem,,,,1.0,1.0
Eno,,,,1.0,1.0
Felix Jaehn,,,1.0,,1.0
Flava & Stevenson,1.0,,,,1.0
Freeg,,1.0,,,1.0
GASHI,,,1.0,1.0,2.0
George Ezra,1.0,1.0,1.0,1.0,4.0
George Harrison,1.0,,,,1.0
Halsey,1.0,1.0,1.0,1.0,4.0
Harry Styles,1.0,,,,1.0
Imagine Dragons,1.0,5.0,3.0,2.0,11.0
Jason Mraz,1.0,1.0,,,2.0
Jax Jones,,1.0,,,1.0
John Hänni,,1.0,,,1.0
John Legend,1.0,1.0,,,2.0
Jonas Blue,1.0,1.0,1.0,1.0,4.0
Juice WRLD,,1.0,1.0,1.0,3.0
Justin Timberlake,1.0,1.0,1.0,,3.0
Kanye West,,,,1.0,1.0
Khalid,,,1.0,,1.0
King Princess,1.0,1.0,1.0,,3.0
KitschKrieg,,,,1.0,1.0
Kodak Black,,,1.0,1.0,2.0
Kris Kross Amsterdam,,,1.0,,1.0
Kygo,2.0,3.0,3.0,2.0,10.0
Lady Gaga,2.0,2.0,1.0,1.0,6.0
Lartiste,,,1.0,1.0,2.0
Led Zeppelin,1.0,,,,1.0
Leonard,1.0,,,,1.0
Lo & Leduc,1.0,1.0,1.0,1.0,4.0
Loco Escrito,,,1.0,,1.0
Loredana,,,,1.0,1.0
Lost Frequencies,,1.0,2.0,,3.0
Lou Reed,1.0,,,,1.0
Loud Luxury,1.0,1.0,1.0,1.0,4.0
Luca Hänni,1.0,,,,1.0
Luciano,,,,2.0,2.0
Luis Fonsi,2.0,2.0,2.0,,6.0
Lynyrd Skynyrd,1.0,,,,1.0
MERO,,,,2.0,2.0
Mariah Carey,1.0,1.0,,,2.0
Maroon 5,1.0,1.0,1.0,1.0,4.0
Marshmello,2.0,2.0,2.0,2.0,8.0
Martin Garrix,,,2.0,,2.0
Michael Jackson,1.0,1.0,,,2.0
Nicky Jam,1.0,1.0,1.0,1.0,4.0
Nico Santos,,1.0,1.0,,2.0
Nio Garcia,,,1.0,1.0,2.0
Noizy,,,,1.0,1.0
Oasis,1.0,1.0,,,2.0
Ozuna,,,1.0,,1.0
P!nk,,1.0,,,1.0
Panic! At The Disco,1.0,1.0,1.0,1.0,4.0
Passenger,1.0,1.0,,,2.0
Paulo Londra,,,1.0,,1.0
Pedro Capó,,,1.0,,1.0
Pink Floyd,2.0,,,,2.0
Portugal. The Man,1.0,1.0,1.0,,3.0
Post Malone,1.0,2.0,2.0,5.0,10.0
Queen,4.0,4.0,1.0,,9.0
RIN,,,,1.0,1.0
Ramz,,,,1.0,1.0
Reik,,,1.0,,1.0
Rita Ora,1.0,2.0,2.0,,5.0
Rudimental,1.0,1.0,1.0,1.0,4.0
Sam Smith,1.0,1.0,,,2.0
Samra,,,,1.0,1.0
Sean Paul,,,1.0,,1.0
Selena Gomez,,1.0,1.0,1.0,3.0
Shawn Mendes,1.0,1.0,1.0,1.0,4.0
Sheck Wes,,,,1.0,1.0
Sido,,,1.0,1.0,2.0
Simon & Garfunkel,1.0,,,,1.0
Steppenwolf,1.0,,,,1.0
Summer Cem,,,,1.0,1.0
Supertramp,2.0,,,,2.0
Ta'Shan ,1.0,,,,1.0
Takagi & Ketra,,1.0,1.0,1.0,3.0
The Animals,1.0,,,,1.0
The Beatles,1.0,,,,1.0
The Police,1.0,1.0,,,2.0
The Rolling Stones,1.0,,,,1.0
Tiësto,,1.0,1.0,1.0,3.0
Tom Walker,1.0,1.0,1.0,1.0,4.0
Toto,1.0,1.0,,,2.0
Travis Scott,,,1.0,1.0,2.0
Tyga,,1.0,1.0,1.0,3.0
Van Morrison,1.0,,,,1.0
Wham!,1.0,1.0,,,2.0
XXXTENTACION,1.0,2.0,3.0,5.0,11.0
Yusuf / Cat Stevens,1.0,,,,1.0
ZAYN,,1.0,,,1.0
Zedd,,1.0,1.0,1.0,3.0
a-ha,,1.0,,,1.0
benny blanco,1.0,1.0,1.0,1.0,4.0
